OBJECTID,Lokalita,PM10,PM2_5,NO_,NO2,Nox,O3,SO2,CO,RychlostVetru,Vlhkost,Teplota,X,Y,Datum
371,LIS,22.4166666666667,17.125,12.5333333333333,21.8625,41.1166666666667,11.5916666666667,4.55833333333333,352.579166666667,0.633333333333333,98.7916666666667,13.5791666666667,49.199,16.6703,2022/10/24 00:00:00+00
372,LIS,15.5416666666667,8.54166666666667,17.8958333333333,25.3458333333333,52.7833333333333,18.9791666666667,4.42916666666667,263.183333333333,0.675,90.875,12.8916666666667,49.199,16.6703,2022/10/25 00:00:00+00
373,LIS,25.25,14.7083333333333,29.9541666666667,24.8708333333333,70.7333333333333,8.04166666666667,4.7375,341.883333333333,0.454166666666667,93.9166666666667,11.0958333333333,49.199,16.6703,2022/10/26 00:00:00+00
374,LIS,30.1666666666667,22.375,35.4,19.95,74.1583333333333,5.74166666666667,4.8375,405.25,0.566666666666667,98.2083333333333,11.0208333333333,49.199,16.6703,2022/10/27 00:00:00+00
375,LIS,17.375,14.8333333333333,3.84583333333333,14.0166666666667,19.9958333333333,17.2166666666667,4.275,256.916666666667,0.925,100,10.7916666666667,49.199,16.6703,2022/10/28 00:00:00+00
376,LIS,17.7916666666667,14.1666666666667,1.5,10.8583333333333,13.25,18.0458333333333,4.25833333333333,236.345833333333,0.7875,100,12.2083333333333,49.199,16.6703,2022/10/29 00:00:00+00
377,LIS,15.5,12.8333333333333,2.78333333333333,12.6291666666667,16.9791666666667,9.6625,4.25833333333333,252.916666666667,0.5375,99.9583333333333,11.3375,49.199,16.6703,2022/10/30 00:00:00+00
378,LIS,16.4166666666667,11.1666666666667,7.75833333333333,13.8916666666667,25.8541666666667,8.90416666666667,4.30416666666667,298.029166666667,0.975,100,10.1916666666667,49.199,16.6703,2022/10/31 00:00:00+00
379,MOH,9.925,7.12916666666667,7.05416666666667,20.9333333333333,31.7166666666667,29.6,5.70434782608696,211.683333333333,0.85,68.4916666666667,11.1291666666667,49.2616,16.5842,2022/06/04 00:00:00+00
380,MOH,8.4875,5.25833333333333,9.23333333333333,21.6125,35.775,45.8208333333333,8.00454545454546,180.8125,1.55833333333333,59.125,12.9541666666667,49.2616,16.5842,2022/07/04 00:00:00+00
381,MOH,7.64583333333333,5.24583333333333,4.15416666666667,19.7875,26.1708333333333,56.0625,7.86086956521739,228.141666666667,1.4125,61.3625,10.1833333333333,49.2616,16.5842,2022/08/04 00:00:00+00
382,MOH,7.6375,5.56875,3.92352941176471,14.5125,20.8875,50.49375,6.49333333333333,196.670588235294,0.99375,76.14375,6.625,49.2616,16.5842,2022/09/04 00:00:00+00
383,MOH,6.8625,5.69166666666667,3.72916666666667,10.1541666666667,15.8666666666667,51.3166666666667,4.63913043478261,142.129166666667,0.8375,73.125,3.64166666666667,49.2616,16.5842,2022/10/04 00:00:00+00
384,MOH,10.8791666666667,8.50833333333333,4.67916666666667,14.4541666666667,21.65,45.9791666666667,4.72173913043478,304.4875,0.583333333333334,64.3291666666667,4.37916666666667,49.2616,16.5842,2022/11/04 00:00:00+00
385,MOH,15.8285714285714,11.5857142857143,5.78571428571429,17.5095238095238,26.4238095238095,54.0761904761905,6.01428571428571,327.519047619048,0.876190476190476,57.4809523809524,6.72857142857143,49.2616,16.5842,2022/12/04 00:00:00+00
386,MOH,21.9833333333333,15.225,4.83333333333333,16.8333333333333,24.2125,55.7166666666667,8.16521739130435,283.5875,0.995833333333333,58.7083333333333,9.9,49.2616,16.5842,2022/04/13 00:00:00+00
387,MOH,27.775,18.3958333333333,4.89166666666667,21,28.5041666666667,60.4583333333333,9.30833333333333,559.791666666667,1.21666666666667,56.6333333333333,12.6666666666667,49.2616,16.5842,2022/04/14 00:00:00+00
388,MOH,13.3041666666667,10.4583333333333,5.07083333333333,16.6125,24.4208333333333,61.15,7.54782608695652,326.5,0.9125,66.9333333333334,12.8333333333333,49.2616,16.5842,2022/04/15 00:00:00+00
389,MOH,7.34583333333333,5.775,3.86666666666667,11.2,17.1833333333333,58.0333333333333,4.72173913043478,321.204166666667,1.18333333333333,60.7416666666667,7.26666666666667,49.2616,16.5842,2022/04/16 00:00:00+00
390,MOH,10.5608695652174,7.64347826086956,3.13913043478261,9.07826086956522,13.8565217391304,56.5434782608696,5.45714285714286,528.486956521739,0.682608695652174,54.1130434782609,5.62173913043478,49.2616,16.5842,2022/04/17 00:00:00+00
391,MOH,11.195652173913,8.47826086956522,3.58695652173913,9.55652173913043,15.0347826086957,61.6130434782609,7.83636363636364,591.139130434783,0.31304347826087,52.4347826086956,6.8304347826087,49.2616,16.5842,2022/04/18 00:00:00+00
392,MOH,15.5875,10.2625,19.4125,50.6958333333333,80.45,75.1666666666667,7.1125,250.175,0.479166666666667,66.2875,25.0833333333333,49.2616,16.5842,2022/06/29 00:00:00+00
393,MOH,10.0708333333333,5.44166666666667,19.6541666666667,52.0083333333333,82.1375,70.6583333333333,6.31666666666667,159.252631578947,0.3125,61.675,25.9125,49.2616,16.5842,2022/06/30 00:00:00+00
394,MOH,13.0583333333333,7.00833333333333,15.8958333333333,39.6291666666667,64.0041666666667,59.0333333333333,6.23333333333334,142.85625,0.875,68.7875,24.5583333333333,49.2616,16.5842,2022/01/07 00:00:00+00
395,MOH,6.30416666666667,3.27083333333333,12.275,28.9458333333333,47.75,48.8416666666667,4.03333333333333,159.920833333333,0.504166666666667,64.1541666666667,19.5666666666667,49.2616,16.5842,2022/02/07 00:00:00+00
396,MOH,6.41666666666667,4.175,13.8875,38.2625,59.5625,47.475,5.04166666666667,111.95652173913,0.379166666666667,60.9291666666667,21.6541666666667,49.2616,16.5842,2022/03/07 00:00:00+00
397,MOH,9.37916666666666,5.05833333333333,16.3916666666667,41.3083333333333,66.425,47.2375,5.87083333333333,157.316666666667,0.229166666666667,67.4041666666667,22.6916666666667,49.2616,16.5842,2022/04/07 00:00:00+00
398,MOH,8.24166666666667,5.4625,17.35,26.6875,53.2791666666667,39.225,4.85,106.725,0.279166666666667,85.7083333333333,17.7833333333333,49.2616,16.5842,2022/05/07 00:00:00+00
399,MOH,7.95,4.21666666666667,9.69583333333333,24.6416666666667,39.5083333333333,49.7791666666667,4.42916666666667,149.95,0.4125,67.1375,18.225,49.2616,16.5842,2022/06/07 00:00:00+00
400,MOH,7.40833333333333,4,7.07916666666667,23.1208333333333,33.9958333333333,47.8541666666667,4.87916666666667,154.441666666667,0.529166666666667,66.9041666666667,17.7416666666667,49.2616,16.5842,2022/07/07 00:00:00+00
401,MOH,6.15,3.75833333333333,7.92916666666667,20.075,32.225,40.0833333333333,4.8125,140.204166666667,0.85,68.0625,17.4583333333333,49.2616,16.5842,2022/08/07 00:00:00+00
402,MOH,5.98333333333333,3.69583333333333,6.07083333333333,17.8875,27.2,42.1708333333333,5.68333333333333,125.208333333333,0.604166666666667,69.2708333333333,17.3375,49.2616,16.5842,2022/09/07 00:00:00+00
403,MOH,5.8125,2.48333333333333,6.61666666666667,14.5416666666667,24.6833333333333,37.65,6.0625,82.95,0.829166666666667,65.2833333333333,15.3333333333333,49.2616,16.5842,2022/10/07 00:00:00+00
404,MOH,6.0125,2.94583333333333,5.2,16.6,24.55,39.7291666666667,5.59166666666667,111.40625,0.491666666666667,62.6291666666667,15.3125,49.2616,16.5842,2022/11/07 00:00:00+00
405,MOH,6.86666666666666,4.7,4.975,9.16666666666667,16.8,35.8041666666667,1.32727272727273,198.454166666667,1.3875,79.8,9.59583333333333,49.2616,16.5842,2022/09/21 00:00:00+00
406,MOH,8.77083333333333,6.15833333333333,4.35833333333333,7.71666666666667,14.4416666666667,37.0916666666667,2.3625,296.683333333333,0.820833333333333,75.8125,9.89166666666667,49.2616,16.5842,2022/09/22 00:00:00+00
407,MOH,13.3666666666667,9.20833333333333,6.40833333333333,12.0791666666667,21.9208333333333,30.875,2.90416666666667,316.7875,0.558333333333333,76.8958333333333,8.85833333333333,49.2616,16.5842,2022/09/23 00:00:00+00
408,MOH,15.9083333333333,11.5958333333333,4.77083333333333,11.2458333333333,18.5875,38.3875,2.67916666666667,305.95,0.516666666666667,76.9041666666667,10.8708333333333,49.2616,16.5842,2022/09/24 00:00:00+00
409,MOH,17.8791666666667,14.5791666666667,4.75416666666667,9.80833333333333,17.0916666666667,32.3416666666667,2.52916666666667,388.925,0.479166666666667,86.9083333333333,13.0166666666667,49.2616,16.5842,2022/09/25 00:00:00+00
410,MOH,13.4416666666667,9.82916666666667,6.01666666666667,9.75416666666666,18.975,26.4083333333333,2.7125,333.15,0.6,85.05,12.5541666666667,49.2616,16.5842,2022/09/26 00:00:00+00
411,MOH,9.63333333333333,5.82916666666667,9.84583333333333,11.8458333333333,26.9458333333333,22.1833333333333,3.00833333333333,303.670833333333,0.466666666666667,85.65,10,49.2616,16.5842,2022/09/27 00:00:00+00
412,MOH,6.80833333333333,3.59166666666667,5.42916666666667,7.76666666666666,16.0958333333333,28.9208333333333,3.075,203.454166666667,0.516666666666667,80.6,10.4666666666667,49.2616,16.5842,2022/09/28 00:00:00+00
413,MOH,8.68333333333333,4.8,5.60833333333333,8.1625,16.7541666666667,30.4458333333333,2.9125,319.308333333333,0.483333333333333,78.6666666666667,11.35,49.2616,16.5842,2022/09/29 00:00:00+00
414,MOH,10.7458333333333,7.55416666666667,4.55416666666667,10.4333333333333,17.4166666666667,32.3458333333333,2.38333333333333,327.779166666667,0.454166666666667,81.4916666666667,11.5833333333333,49.2616,16.5842,2022/09/30 00:00:00+00
415,MOH,12.9,9.63333333333333,5.15833333333333,9.925,17.825,27.775,2.37916666666667,296.745833333333,0.470833333333333,83.3666666666667,12.3958333333333,49.2616,16.5842,2022/01/10 00:00:00+00
416,MOH,6.50416666666667,3.98333333333333,4.21666666666667,6.29583333333333,12.7625,41.25,2.525,164.320833333333,1.0375,77.75,12.6291666666667,49.2616,16.5842,2022/02/10 00:00:00+00
417,MOH,5.9125,3.59166666666667,4.075,6.73333333333333,12.9958333333333,47.3708333333333,2.87916666666667,265.808333333333,2.0125,73.2791666666667,12.4166666666667,49.2616,16.5842,2022/03/10 00:00:00+00
418,MOH,21.3791666666667,19.9125,7.16666666666667,25.8583333333333,36.8458333333333,20.1833333333333,7.85909090909091,340.421739130435,1.475,87.4958333333333,-3.66666666666667,49.2616,16.5842,2022/12/14 00:00:00+00
419,MOH,35.0375,32.1083333333333,14.8125,40.8083333333333,63.5,10.4333333333333,8.3875,446.895833333333,0.508333333333333,85.6208333333333,-0.7625,49.2616,16.5842,2022/12/15 00:00:00+00
420,MOH,31.5125,30.1875,12.0083333333333,43.5375,61.9416666666667,13.2541666666667,10.15,549.908333333333,0.533333333333333,88.7833333333333,-0.4125,49.2616,16.5842,2022/12/16 00:00:00+00
421,MOH,29.4625,28.3833333333333,7.74166666666667,33.9166666666667,45.7958333333333,30.875,5.32083333333333,432.166666666667,1.18333333333333,81.1,-1.63333333333333,49.2616,16.5842,2022/12/17 00:00:00+00
422,MOH,26.5416666666667,25.6458333333333,6.77916666666667,35.8208333333333,46.1791666666667,25.6375,1.6,382.929166666667,0.6,85.4,-5.55416666666667,49.2616,16.5842,2022/12/18 00:00:00+00
423,MOH,27.3166666666667,26.3916666666667,5.39166666666667,27.975,36.2458333333333,33.5125,2.03157894736842,357.708333333333,1.4125,85.6916666666667,-2.5,49.2616,16.5842,2022/12/19 00:00:00+00
424,MOH,32.4375,30.4083333333333,6.55833333333333,32.0166666666667,42.0625,19.9958333333333,4.36666666666667,426.8375,1.38333333333333,91.3125,-0.929166666666667,49.2616,16.5842,2022/12/20 00:00:00+00
425,MOH,29.7375,27.325,10.0375,38.9125,54.2916666666667,12.4958333333333,4.88333333333333,424.075,0.933333333333333,93.6625,-0.195833333333333,49.2616,16.5842,2022/12/21 00:00:00+00
426,MOH,27.5916666666667,26.1958333333333,16.275,35.0916666666667,60.0333333333333,4.6,5.17083333333333,493.166666666667,0.925,96.1958333333333,0.345833333333333,49.2616,16.5842,2022/12/22 00:00:00+00
427,MOH,29.0333333333333,27.9958333333333,30.6916666666667,38.3958333333333,85.45,2.83333333333333,6.43333333333333,663.883333333333,0.225,97.0625,1.425,49.2616,16.5842,2022/12/23 00:00:00+00
428,MOH,16.5791666666667,14.55,15.6833333333333,35.1166666666667,59.1708333333333,8.225,5.5625,476.320833333333,0.5,94.5125,2.475,49.2616,16.5842,2022/12/24 00:00:00+00
429,MOH,20.7458333333333,19.1666666666667,18.2541666666667,31.7708333333333,59.7625,5.65833333333333,4.14583333333333,574.129166666667,0.554166666666667,93.4125,2.2875,49.2616,16.5842,2022/12/25 00:00:00+00
430,MOH,24.075,22.9166666666667,19.2166666666667,35.1541666666667,64.6291666666667,3.81666666666667,4.775,581.733333333333,0.3125,96.7375,4.1125,49.2616,16.5842,2022/12/26 00:00:00+00
431,REC,11.6,7.85,5.3625,19.7166666666667,27.9208333333333,34.6291666666667,4.73913043478261,163.9625,1.49583333333333,67.9208333333333,4.84166666666667,49.2448,16.5905,2022/02/23 00:00:00+00
432,REC,16.8375,11.7833333333333,6.49166666666667,14.4708333333333,24.45,32.6041666666667,5.49583333333333,136.558333333333,0.354166666666667,70.0875,3.80416666666667,49.2448,16.5905,2022/02/24 00:00:00+00
433,REC,9.54166666666667,6.8,5.05,19.7166666666667,27.4333333333333,32.7375,4.69130434782609,136.483333333333,1.2,67.5833333333333,2.32916666666667,49.2448,16.5905,2022/02/25 00:00:00+00
434,REC,11.9541666666667,9.85416666666667,4.30833333333333,13.2041666666667,19.8583333333333,32.675,2.67391304347826,124.129166666667,0.658333333333333,78.4666666666667,1.5625,49.2448,16.5905,2022/02/26 00:00:00+00
435,REC,17.1833333333333,15.5458333333333,3.46666666666667,10.9208333333333,16.2541666666667,37.0833333333333,3.06666666666667,132.279166666667,0.466666666666667,71.35,1.16666666666667,49.2448,16.5905,2022/02/27 00:00:00+00
436,REC,14.4833333333333,10.8083333333333,4.2125,14.4666666666667,20.9291666666667,37.7916666666667,4.96666666666667,109.860869565217,0.541666666666667,63.2416666666667,-0.883333333333333,49.2448,16.5905,2022/02/28 00:00:00+00
437,REC,20.0416666666667,15.0166666666667,7.0375,16.775,27.5541666666667,31.7708333333333,8.47916666666667,168.625,0.316666666666667,63.425,-0.6125,49.2448,16.5905,2022/01/03 00:00:00+00
438,REC,24.2666666666667,18.3916666666667,5.95416666666667,23.35,32.5,34.7125,8.1625,163.275,0.816666666666667,58.8541666666667,-0.25,49.2448,16.5905,2022/02/03 00:00:00+00
439,REC,30.4041666666667,24.2916666666667,4.86666666666667,24.8666666666667,32.3125,33.3291666666667,9.59130434782609,121.916666666667,0.625,63.2166666666667,-1.27083333333333,49.2448,16.5905,2022/03/03 00:00:00+00
440,REC,26.6833333333333,22.425,4.925,22.9291666666667,30.4875,34.6,5.88260869565217,112.015789473684,0.804166666666667,73.2125,0.4125,49.2448,16.5905,2022/04/03 00:00:00+00
441,REC,18.9458333333333,17.3625,3.075,10.375,15.1166666666667,43.225,5.77826086956522,135.733333333333,0.491666666666667,65.175,1.95833333333333,49.2448,16.5905,2022/05/03 00:00:00+00
442,REC,24.5583333333333,23.0333333333333,3.04166666666667,12.2708333333333,16.9583333333333,49.6583333333333,6.24782608695652,145.258333333333,0.816666666666667,60.6166666666667,-0.191666666666667,49.2448,16.5905,2022/06/03 00:00:00+00
443,REC,22.4958333333333,19.5041666666667,4.05833333333333,17.125,23.3625,51.5125,4.69565217391304,122.325,1.25833333333333,64.8791666666667,-0.2125,49.2448,16.5905,2022/07/03 00:00:00+00
444,REC,10.375,4.65833333333333,4.0875,7.57916666666666,13.8625,50.925,3.31666666666667,72.7909090909091,0.3125,55.2458333333333,13.6541666666667,49.2448,16.5905,2022/05/18 00:00:00+00
445,REC,15.2291666666667,4.95833333333333,4.36666666666667,14.1166666666667,20.8166666666667,59.75,4.01666666666667,154.55,0.370833333333333,55.1125,15.525,49.2448,16.5905,2022/05/19 00:00:00+00
446,REC,18.1833333333333,7.37916666666667,6.82916666666667,24.1791666666667,34.6708333333333,55.4291666666667,6.2375,334.44375,0.808333333333333,62.3541666666667,20.7458333333333,49.2448,16.5905,2022/05/20 00:00:00+00
447,REC,20.3291666666667,13.2916666666667,5.08333333333333,11.675,19.475,57.0666666666667,5.23333333333333,314.666666666667,1.125,58.4,18.8083333333333,49.2448,16.5905,2022/05/21 00:00:00+00
448,REC,11.7625,7.57083333333333,3.32083333333333,9.39583333333333,14.4875,59.5416666666667,5.425,248.8125,0.85,58.7833333333333,15.1166666666667,49.2448,16.5905,2022/05/22 00:00:00+00
449,REC,11.1125,5.49583333333333,3.9,10.65,16.6291666666667,64.1875,6.15833333333333,130.409090909091,0.645833333333333,56.7291666666667,17.2708333333333,49.2448,16.5905,2022/05/23 00:00:00+00
450,REC,16.7958333333333,9.75416666666667,3.35416666666667,8.575,13.7208333333333,43.6166666666667,4.92916666666667,187.030434782609,0.145833333333333,77.6958333333333,17.3875,49.2448,16.5905,2022/05/24 00:00:00+00
451,REC,9.8625,6.21666666666667,11.0458333333333,17.1958333333333,34.125,33.6541666666667,3.77083333333333,262.6125,0.395833333333333,93.4208333333333,14.4166666666667,49.2448,16.5905,2022/05/25 00:00:00+00
452,REC,14.575,7.70416666666666,20.1541666666667,22.3,53.1875,49.8958333333333,3.58333333333333,234.0375,0.575,72.5625,16.4375,49.2448,16.5905,2022/05/26 00:00:00+00
453,REC,11.0833333333333,5.95833333333333,6.27083333333333,17.3291666666667,26.9583333333333,55.925,3.90833333333333,209.066666666667,0.716666666666667,74.0125,16.1375,49.2448,16.5905,2022/05/27 00:00:00+00
454,REC,11.9916666666667,7,8.18333333333333,19.8125,32.3583333333333,56.1083333333333,3.57916666666667,190.075,0.708333333333334,63.3125,13.5958333333333,49.2448,16.5905,2022/05/28 00:00:00+00
455,REC,10.6375,7.20416666666667,4.575,11.3833333333333,18.4166666666667,63.1083333333333,4.1125,155.2375,0.479166666666667,66.525,12.1375,49.2448,16.5905,2022/05/29 00:00:00+00
456,REC,9.575,6.44583333333333,5.35416666666667,22.4458333333333,30.6625,68.2541666666667,4.0875,154.17619047619,0.375,68.0083333333333,13.4541666666667,49.2448,16.5905,2022/05/30 00:00:00+00
457,REC,17.7541666666667,12.0416666666667,6.175,9.5125,18.975,56.6333333333333,3.19166666666667,278.783333333333,0.383333333333333,79.0458333333333,19.75,49.2448,16.5905,2022/07/27 00:00:00+00
458,REC,10.8291666666667,4.95,4.3,5.43333333333333,12.0333333333333,76.4291666666667,3.425,236.891666666667,0.495833333333333,57.7416666666667,21.7083333333333,49.2448,16.5905,2022/07/28 00:00:00+00
459,REC,11.9791666666667,7.64583333333334,4.575,12.9375,19.9416666666667,65.425,3.2375,186.008333333333,0.3125,75.2666666666667,20.6083333333333,49.2448,16.5905,2022/07/29 00:00:00+00
460,REC,8.9125,6.44583333333333,4.91666666666667,9.43333333333333,16.9791666666667,61.4666666666667,2.57916666666667,218.4625,0.620833333333333,83.8666666666667,19.025,49.2448,16.5905,2022/07/30 00:00:00+00
461,REC,8.55416666666667,5.32916666666667,3.56666666666667,8.74166666666667,14.2291666666667,80.4833333333333,2.67916666666667,310.591666666667,0.929166666666667,59.2708333333333,20.7875,49.2448,16.5905,2022/07/31 00:00:00+00
462,REC,12.6291666666667,8.1125,5.14583333333333,16.2791666666667,24.1916666666667,61.8375,3.08333333333333,285.854166666667,0.35,74.8041666666667,20.7708333333333,49.2448,16.5905,2022/01/08 00:00:00+00
463,REC,6.575,3.54166666666667,5.1875,7.76666666666667,15.7291666666667,58.1833333333333,2.75833333333333,168.879166666667,0.225,64.6958333333333,22.075,49.2448,16.5905,2022/02/08 00:00:00+00
464,REC,11.2333333333333,5.84583333333333,4.64583333333333,10.6541666666667,17.7875,70.9666666666667,2.70833333333333,202.333333333333,0.404166666666667,64.6125,22.5666666666667,49.2448,16.5905,2022/03/08 00:00:00+00
465,REC,15.0208333333333,7.54166666666667,4.29166666666667,12.125,18.7166666666667,82.0541666666667,2.67083333333333,298.483333333333,0.454166666666666,59.2333333333333,23.5166666666667,49.2448,16.5905,2022/04/08 00:00:00+00
466,REC,18.5458333333333,9.75416666666667,3.95,10.6958333333333,16.7583333333333,99.8958333333333,3.00416666666667,254.766666666667,0.55,54.7791666666667,25.85,49.2448,16.5905,2022/05/08 00:00:00+00
467,REC,9.49999999999999,6.18333333333333,2.3375,6.53333333333333,10.1125,69.4375,2.60833333333333,246.633333333333,0.570833333333333,56.875,19.2,49.2448,16.5905,2022/06/08 00:00:00+00
468,REC,11.2416666666667,6.8,0.8,6.10833333333333,7.37083333333333,79.15,2.69583333333333,300.525,0.358333333333333,40.9125,19.5791666666667,49.2448,16.5905,2022/07/08 00:00:00+00
469,REC,11.3625,5.4,2.56666666666667,8.8875,12.8375,77.0625,2.54583333333333,306.425,0.416666666666667,37.2833333333333,19.9625,49.2448,16.5905,2022/08/08 00:00:00+00
470,REC,33.9791666666667,27.1958333333333,30.9916666666667,18.5541666666667,66.0541666666667,2.79166666666667,5.54583333333333,634.695833333333,0.075,87.9583333333334,1.44583333333333,49.2448,16.5905,2022/11/30 00:00:00+00
471,REC,20.9541666666667,19.4458333333333,5.17916666666667,11.7041666666667,19.6458333333333,13.6208333333333,7.1,291.125,0.358333333333333,84.3166666666666,1.02916666666667,49.2448,16.5905,2022/01/12 00:00:00+00
472,REC,22.8833333333333,21.1916666666667,4.99166666666667,11.8125,19.4875,17.55,6.90416666666667,313.354166666667,0.145833333333333,83.8666666666667,1.1125,49.2448,16.5905,2022/02/12 00:00:00+00
473,REC,19.6291666666667,18.6666666666667,3.0125,7.97083333333333,12.6,14.4583333333333,6.3,406.804166666667,0.183333333333333,92.7166666666667,2.78333333333333,49.2448,16.5905,2022/03/12 00:00:00+00
474,REC,16.3875,15.2583333333333,2.7625,6.44583333333333,10.6875,27.2916666666667,7.05416666666666,382.0125,0.229166666666667,84.6791666666667,5.86666666666667,49.2448,16.5905,2022/04/12 00:00:00+00
475,REC,17.2916666666667,15.8625,6.72916666666667,13.875,24.1916666666667,9.36666666666667,6.62916666666667,392.754166666667,0.183333333333333,93.3291666666667,5.03333333333333,49.2448,16.5905,2022/05/12 00:00:00+00
476,REC,8.275,6.79583333333333,9,14.8583333333333,28.6708333333333,3.49166666666667,6.27916666666667,439.433333333333,0.166666666666667,94.9041666666667,2.82083333333333,49.2448,16.5905,2022/06/12 00:00:00+00
477,REC,7.80416666666667,6.30833333333333,8.59583333333333,15.075,28.2583333333333,11.6625,6.84166666666667,192.541176470588,0.458333333333333,85.0666666666667,2.6875,49.2448,16.5905,2022/07/12 00:00:00+00
478,REC,16.7208333333333,13.9041666666667,8.51666666666666,14.2916666666667,27.3583333333333,9.59583333333333,7.07083333333333,271.908333333333,0.1375,90.775,1.87916666666667,49.2448,16.5905,2022/08/12 00:00:00+00
479,REC,15.0125,13.6833333333333,4.02083333333333,12.3958333333333,18.5708333333333,19.1291666666667,8.10416666666667,331.845833333333,0.245833333333333,90.8041666666667,2.70416666666667,49.2448,16.5905,2022/09/12 00:00:00+00
480,REC,19.4708333333333,18.6666666666667,6.76666666666667,15.9958333333333,26.3791666666667,16.3291666666667,8.53333333333333,415.708333333333,0.929166666666667,84.9208333333333,2.16666666666667,49.2448,16.5905,2022/10/12 00:00:00+00
481,REC,12.8208333333333,11.9958333333333,4.625,11.5416666666667,18.6416666666667,32.4833333333333,8.6,218.408333333333,1.8,75.0708333333333,0.2875,49.2448,16.5905,2022/11/12 00:00:00+00
482,REC,11.2791666666667,10.2625,6.02083333333333,17.4583333333333,26.6916666666667,30.7458333333333,7.925,148.829166666667,1.2375,74.7666666666667,-1.87916666666667,49.2448,16.5905,2022/12/12 00:00:00+00
483,STY,6.5,4.625,1.9625,17.575,20.55625,57.2,3.99375,224.2125,1.76875,71.625,9.35625,49.1734,16.5989,2022/05/04 00:00:00+00
484,STY,13.4583333333333,7.25,24.5041666666667,37.6125,75.1,29.3708333333333,4.11666666666667,280.908333333333,1.0125,70.4166666666667,12.4,49.1734,16.5989,2022/06/04 00:00:00+00
485,STY,14,6.91666666666667,26.3,25.9583333333333,66.075,50.0125,4.04166666666667,235.183333333333,1.82083333333333,64.4583333333333,13.8291666666667,49.1734,16.5989,2022/07/04 00:00:00+00
486,STY,8.70833333333333,4.54166666666667,1.80416666666667,23.2291666666667,26.0208333333333,58.725,3.94166666666667,194.383333333333,1.73333333333333,66.9166666666667,10.9583333333333,49.1734,16.5989,2022/08/04 00:00:00+00
487,STY,5.91666666666667,4.54166666666667,0.333333333333333,12.9583333333333,13.1333333333333,66.1875,3.79166666666667,196.075,2.27916666666667,75.9583333333333,6.825,49.1734,16.5989,2022/09/04 00:00:00+00
488,STY,6.08333333333333,4.625,0.425,13.4291666666667,13.6541666666667,69.6083333333333,3.9875,196.6,1.95833333333333,70.4166666666667,5.1125,49.1734,16.5989,2022/10/04 00:00:00+00
