name,actualized,so2_1h,no2_1h,co_8h,pm10_1h,o3_1h,pm10_24h,pm2_5_1h
Brno - Dětská nemocnice,2024-01-20T17:54:14Z,,58,,23.5,11,27.8,20.3
Brno-Komárov,2024-01-20T17:54:14Z,,75.9,,49.8,,36.2,30
Brno-Svatoplukova,2024-01-20T17:54:14Z,,55.5,510,57.5,,45.9,35.2
Brno-Líšeň,2024-01-20T17:54:14Z,,,,34.8,,20.9,25.2
Brno-Lány,2024-01-20T17:54:14Z,1.3,72.3,306,51.5,3,30.7,28.6
Brno-Arboretum,2024-01-20T18:54:14Z,,61.8,,37.2,7.8,24.0,26.4
Brno-Líšeň,2024-01-20T18:54:14Z,,,,20.1,,21.0,17
Brno - Dětská nemocnice,2024-01-20T18:54:14Z,,67.5,,30.9,3.2,28.4,28.6
Brno-Lány,2024-01-20T18:54:14Z,1.3,69.1,379,67.9,5,32.5,46.8
Brno-Tuřany,2024-01-20T18:54:14Z,1.3,32.7,,17.1,21.5,25.7,10.7
Brno-Svatoplukova,2024-01-20T18:54:14Z,,43,539,48.6,,45.6,44.5
Brno-Úvoz (hot spot),2024-01-20T18:54:14Z,,62.9,499,37.8,,33.2,22.2
Brno-Komárov,2024-01-20T18:54:14Z,,81.5,,50.4,,37.1,37.2
Brno-Úvoz (hot spot),2024-01-20T19:54:14Z,,66.6,522,46.3,,34.0,26.7
Brno-Lány,2024-01-20T19:54:14Z,1.3,63.7,466,51.6,9,33.2,40
Brno-Tuřany,2024-01-20T19:54:14Z,1.3,60.6,,18.5,8.8,25.4,12.9
Brno-Arboretum,2024-01-20T19:54:14Z,,62.4,,43.4,6.2,24.9,33.4
Brno-Svatoplukova,2024-01-20T19:54:14Z,,50.5,568,44.9,,45.9,41.6
Brno - Dětská nemocnice,2024-01-20T19:54:14Z,,69.2,,35.2,3.2,29.0,31.4
Brno-Komárov,2024-01-20T19:54:14Z,,73.1,,51.8,,37.4,40.9
Brno-Líšeň,2024-01-20T19:54:14Z,,,,19.1,,20.9,10.1
Brno-Svatoplukova,2024-01-20T20:54:14Z,,43,612,45.4,,46.2,42.9
Brno-Lány,2024-01-20T20:54:14Z,1.3,61,524,53.1,3,33.4,43.6
Brno-Komárov,2024-01-20T20:54:14Z,,63.1,,55.4,,37.8,49.3
Brno-Tuřany,2024-01-20T20:54:14Z,1.3,62,,42.9,6.8,26.2,23
Brno-Úvoz (hot spot),2024-01-20T20:54:14Z,,58,538,51.2,,35.2,30.5
Brno-Líšeň,2024-01-20T20:54:14Z,,,,25.8,,21.3,12.9
Brno - Dětská nemocnice,2024-01-20T20:54:14Z,,61.4,,52.0,3.2,30.3,34.4
Brno-Arboretum,2024-01-20T20:54:14Z,,50.5,,33.4,14.4,25.5,28.5
Brno - Dětská nemocnice,2024-01-20T21:54:14Z,,55.1,,47.6,3.6,31.1,45.6
Brno-Arboretum,2024-01-20T21:54:14Z,,53.6,,33.0,6,25.7,27.1
Brno-Tuřany,2024-01-20T21:54:14Z,1.3,53.9,,48.8,6.4,27.2,39.7
Brno-Lány,2024-01-20T21:54:14Z,1.3,58.3,612,68.8,14.4,34.9,55.7
Brno-Svatoplukova,2024-01-20T21:54:14Z,,46.7,655,44.1,,46.4,41.8
Brno-Komárov,2024-01-20T21:54:14Z,,67,,66.3,,38.7,56.3
Brno-Líšeň,2024-01-20T21:54:14Z,,,,27.1,,21.9,19
Brno-Úvoz (hot spot),2024-01-20T21:54:14Z,,52.4,545,37.7,,35.8,30.1
Brno - Dětská nemocnice,2024-01-20T22:54:14Z,,50.3,,48.9,4.2,32.1,46.5
Brno-Svatoplukova,2024-01-20T22:54:14Z,,36,684,45.0,,46.6,43.7
Brno-Arboretum,2024-01-20T22:54:14Z,,46.9,,34.5,9.4,26.2,30.9
Brno-Lány,2024-01-20T22:54:14Z,1.3,56.2,699,79.3,19.4,36.6,66.9
Brno-Tuřany,2024-01-20T22:54:14Z,1.3,45.9,,30.6,7.6,27.2,39.3
Brno-Líšeň,2024-01-20T22:54:14Z,,,,24.7,,22.3,22.1
Brno-Komárov,2024-01-20T22:54:14Z,,49.2,,54.7,,39.5,50.7
Brno-Úvoz (hot spot),2024-01-20T22:54:14Z,,50.1,562,36.1,,36.4,28.9
Brno-Komárov,2024-01-20T23:54:15Z,,40.6,,41.5,,39.6,40
Brno-Líšeň,2024-01-20T23:54:15Z,,,,29.0,,22.6,22.6
Brno-Lány,2024-01-20T23:54:15Z,1.3,49.9,786,71.0,9.8,38.4,56.9
Brno - Dětská nemocnice,2024-01-20T23:54:15Z,,50.3,,55.2,3,33.3,40.3
Brno-Svatoplukova,2024-01-20T23:54:15Z,,35.8,713,46.8,,46.6,45.7
Brno-Tuřany,2024-01-20T23:54:15Z,1.3,39.4,,45.3,8.2,27.8,52.3
Brno-Úvoz (hot spot),2024-01-20T23:54:15Z,,47.8,589,36.0,,37.1,28.4
Brno-Arboretum,2024-01-20T23:54:15Z,,43.2,,35.4,7.6,26.5,32.3
Brno-Svatoplukova,2024-01-21T00:54:15Z,,33.1,713,42.6,,46.4,41.9
Brno-Arboretum,2024-01-21T00:54:15Z,,42.3,,33.9,7.2,26.7,31
Brno-Tuřany,2024-01-21T00:54:15Z,,,,51.6,7,28.2,37.1
Brno-Lány,2024-01-21T00:54:15Z,1.3,46.1,859,80.4,8.8,40.9,63.5
Brno-Úvoz (hot spot),2024-01-21T00:54:15Z,,34.4,602,32.6,,37.8,28.9
Brno-Líšeň,2024-01-21T00:54:15Z,,,,30.0,,23.1,23.6
Brno - Dětská nemocnice,2024-01-21T00:54:15Z,,45.3,,46.2,0,34.2,50
Brno-Komárov,2024-01-21T00:54:15Z,,34.8,,35.1,,39.9,34.2
Brno - Dětská nemocnice,2024-01-21T01:54:15Z,,40,,42.5,6,34.8,29.4
Brno-Svatoplukova,2024-01-21T01:54:15Z,,18.4,670,30.8,,45.9,30.4
Brno-Tuřany,2024-01-21T01:54:15Z,1.3,38.6,,43.9,0,28.6,43.8
Brno-Líšeň,2024-01-21T01:54:15Z,,,,18.9,,23.1,25
Brno-Arboretum,2024-01-21T01:54:15Z,,27.5,,33.1,17.2,27.2,30.1
Brno-Úvoz (hot spot),2024-01-21T01:54:15Z,,29.3,600,37.2,,38.8,31.9
Brno-Lány,2024-01-21T01:54:15Z,1.3,40.2,888,61.4,10.2,42.5,49.3
Brno-Komárov,2024-01-21T01:54:15Z,,41.5,,37.8,,40.0,36.3
Brno-Líšeň,2024-01-21T02:54:15Z,,,,19.3,,23.2,24.3
Brno-Lány,2024-01-21T02:54:15Z,1.3,37.5,859,44.0,11,43.1,39.1
Brno - Dětská nemocnice,2024-01-21T02:54:15Z,,,,40.0,8,35.3,35.3
Brno-Komárov,2024-01-21T02:54:15Z,,41.1,,38.8,,40.1,37.3
Brno-Tuřany,2024-01-21T02:54:15Z,1.3,15.3,,48.5,26.3,29.7,34.4
Brno-Úvoz (hot spot),2024-01-21T02:54:15Z,,22.6,585,37.0,,39.9,33.4
Brno-Arboretum,2024-01-21T02:54:15Z,,25.3,,32.3,19.4,27.7,29.5
Brno-Svatoplukova,2024-01-21T02:54:15Z,,17.4,641,27.9,,45.6,27.5
Brno-Líšeň,2024-01-21T03:54:15Z,,,,30.9,,23.4,13.8
Brno-Komárov,2024-01-21T03:54:15Z,,31.9,,36.5,,40.2,35.5
Brno-Lány,2024-01-21T03:54:15Z,1.3,31.4,815,37.6,28.1,43.5,36.7
Brno-Arboretum,2024-01-21T03:54:15Z,,23,,30.2,24.3,27.8,28.4
Brno-Svatoplukova,2024-01-21T03:54:15Z,,15.1,626,26.5,,45.4,26.1
Brno - Dětská nemocnice,2024-01-21T03:54:15Z,,27.5,,44.9,16.2,36.2,42.2
Brno-Úvoz (hot spot),2024-01-21T03:54:15Z,,22.8,554,35.1,,40.9,31.2
Brno-Tuřany,2024-01-21T03:54:15Z,1.3,16.5,,42.5,28.3,30.7,25.9
Brno-Arboretum,2024-01-21T04:54:15Z,,18.6,,27.9,29.7,27.9,25.8
Brno-Svatoplukova,2024-01-21T04:54:15Z,,25.3,612,28.5,,45.4,28.1
Brno-Lány,2024-01-21T04:54:15Z,1.3,29.6,801,37.0,17.2,44.0,36.2
Brno-Tuřany,2024-01-21T04:54:15Z,1.3,21,,40.7,15.4,31.5,17.9
Brno-Líšeň,2024-01-21T04:54:15Z,,,,18.9,,23.3,9.4
Brno - Dětská nemocnice,2024-01-21T04:54:15Z,,25.3,,40.1,20.1,36.1,32
Brno-Úvoz (hot spot),2024-01-21T04:54:15Z,,23,528,33.2,,41.6,31.2
Brno-Komárov,2024-01-21T04:54:15Z,,35.2,,31.2,,40.1,30.5
Brno - Dětská nemocnice,2024-01-21T06:54:15Z,,32.1,,29.1,9.8,36.5,19.3
Brno-Arboretum,2024-01-21T06:54:15Z,,28.7,,25.5,15.8,28.7,23.4
Brno-Úvoz (hot spot),2024-01-21T06:54:15Z,,24.7,481,31.1,,42.9,26.5
Brno-Komárov,2024-01-21T06:54:15Z,,37.9,,36.4,,40.5,35.9
Brno-Svatoplukova,2024-01-21T06:54:15Z,,26,568,31.9,,46.0,31.4
Brno-Tuřany,2024-01-21T06:54:15Z,1.3,19.1,,28.6,17.6,31.6,31.5
Brno-Líšeň,2024-01-21T06:54:15Z,,,,15.9,,23.6,21.5
Brno-Lány,2024-01-21T06:54:15Z,1.3,36.5,699,38.5,13.4,44.9,35.9
Brno-Arboretum,2024-01-21T07:54:15Z,,34.6,,26.4,7.6,29.0,24.6
Brno - Dětská nemocnice,2024-01-21T07:54:15Z,,36.9,,24.2,5,36.4,16.6
Brno-Lány,2024-01-21T07:54:15Z,1.3,38.6,655,40.5,14.6,45.5,37.6
Brno-Svatoplukova,2024-01-21T07:54:15Z,,32.7,568,31.0,,46.3,30.4
Brno-Tuřany,2024-01-21T07:54:15Z,1.3,25.6,,22.1,9.8,31.3,31.5
Brno-Úvoz (hot spot),2024-01-21T07:54:15Z,,34.4,456,32.7,,43.5,27
Brno-Komárov,2024-01-21T07:54:15Z,,36.3,,35.7,,40.8,34.4
Brno-Líšeň,2024-01-21T07:54:15Z,,,,12.6,,23.4,16.9
Brno - Dětská nemocnice,2024-01-21T09:54:15Z,,29.3,,38.5,14.8,37.2,30
Brno-Arboretum,2024-01-21T09:54:15Z,,26.2,,32.8,18.6,29.7,30.5
Brno-Komárov,2024-01-21T09:54:15Z,,31,,36.3,,41.4,34
Brno-Tuřany,2024-01-21T09:54:15Z,1.3,18.7,,42.2,33.9,32.2,32.2
Brno-Lány,2024-01-21T09:54:15Z,1.3,18.6,582,36.4,33.9,46.6,35.5
Brno-Úvoz (hot spot),2024-01-21T09:54:15Z,,32.7,452,36.8,,44.7,28.7
Brno-Svatoplukova,2024-01-21T09:54:15Z,,30.8,612,43.5,,47.2,32.3
Brno-Líšeň,2024-01-21T09:54:15Z,,,,23.5,,23.0,21.8
Brno-Líšeň,2024-01-21T10:54:15Z,,,,32.8,,23.3,21
Brno-Lány,2024-01-21T10:54:15Z,1.3,24.5,553,33.2,29.5,46.6,31.9
Brno-Arboretum,2024-01-21T10:54:15Z,,27,,35.0,27.5,30.3,31.6
Brno-Svatoplukova,2024-01-21T10:54:15Z,,30.6,626,32.2,,47.3,28.1
Brno-Komárov,2024-01-21T10:54:15Z,,33.1,,48.0,,42.0,34.4
Brno - Dětská nemocnice,2024-01-21T10:54:15Z,,31,,35.3,21.7,37.6,20.6
Brno-Úvoz (hot spot),2024-01-21T10:54:15Z,,39,460,40.1,,45.1,29.3
Brno-Tuřany,2024-01-21T10:54:15Z,1.3,18.4,,42.8,41.9,32.5,37
Brno-Lány,2024-01-21T11:54:16Z,1.3,22.8,524,35.2,38.5,46.7,30.4
Brno-Líšeň,2024-01-21T11:54:16Z,,,,24.1,,23.5,24.9
Brno - Dětská nemocnice,2024-01-21T11:54:16Z,,27,,25.7,37.7,37.5,20.1
Brno-Úvoz (hot spot),2024-01-21T11:54:16Z,,,458,59.1,,43.3,29.3
Brno-Komárov,2024-01-21T11:54:16Z,,27.7,,44.3,,41.8,30.2
Brno-Svatoplukova,2024-01-21T11:54:16Z,,34.2,612,53.7,,47.7,29.8
Brno-Tuřany,2024-01-21T11:54:16Z,1.3,14,,45.0,56.3,32.8,34.1
Brno-Arboretum,2024-01-21T11:54:16Z,,28.9,,37.2,37.5,30.7,30.6
Brno-Líšeň,2024-01-21T12:54:17Z,,,,35.1,,24.0,24.1
Brno-Tuřany,2024-01-21T12:54:17Z,1.3,12.2,,26.4,60.2,33.0,26.1
Brno-Svatoplukova,2024-01-21T12:54:17Z,,31.8,612,88.6,,47.8,34.8
Brno-Komárov,2024-01-21T12:54:17Z,,23,,48.0,,42.0,32.1
Brno-Arboretum,2024-01-21T12:54:17Z,,20.7,,27.2,57.1,30.5,21.3
Brno-Lány,2024-01-21T12:54:17Z,1.3,23.5,495,41.2,46.3,46.8,30.5
Brno-Úvoz (hot spot),2024-01-21T12:54:17Z,,42.8,468,57.0,,42.2,26
Brno - Dětská nemocnice,2024-01-21T12:54:17Z,,20.5,,31.8,49.3,37.4,26
Brno-Svatoplukova,2024-01-21T13:54:17Z,,33.5,612,83.6,,48.2,37.2
Brno-Lány,2024-01-21T13:54:17Z,1.3,17.2,466,36.7,50.9,47.0,33.2
Brno - Dětská nemocnice,2024-01-21T13:54:17Z,,17.6,,35.2,53.9,37.4,23.3
Brno-Líšeň,2024-01-21T13:54:17Z,,,,29.6,,24.2,17.4
Brno-Komárov,2024-01-21T13:54:17Z,,19.3,,41.7,,42.4,31.7
Brno-Arboretum,2024-01-21T13:54:17Z,,17,,31.9,62.4,30.7,25.1
Brno-Úvoz (hot spot),2024-01-21T13:54:17Z,,46.5,487,52.8,,41.6,26.9
Brno-Tuřany,2024-01-21T13:54:17Z,1.3,9.8,,25.7,67.4,33.4,29.6
Brno - Dětská nemocnice,2024-01-21T15:54:17Z,,18.6,,40.4,53.1,37.9,29.8
Brno-Arboretum,2024-01-21T15:54:17Z,,20.1,,27.4,58.5,31.8,22.6
Brno-Úvoz (hot spot),2024-01-21T15:54:17Z,,63.1,519,49.9,,41.2,25.6
Brno-Lány,2024-01-21T15:54:17Z,1.3,25.1,408,35.7,45.5,48.1,30.9
Brno-Komárov,2024-01-21T15:54:17Z,,28.9,,39.2,,42.6,28.4
Brno-Svatoplukova,2024-01-21T15:54:17Z,,29.3,582,42.0,,46.0,27.5
Brno-Líšeň,2024-01-21T15:54:17Z,,,,21.9,,23.9,18.9
Brno-Tuřany,2024-01-21T15:54:17Z,2.7,10.9,,43.0,62.8,34.4,22.2
Brno-Arboretum,2024-01-21T16:54:17Z,,31.8,,30.9,41.7,32.0,26.2
Brno-Líšeň,2024-01-21T16:54:17Z,,,,18.2,,23.9,14.2
Brno-Komárov,2024-01-21T16:54:17Z,,37.3,,36.7,,42.5,30.3
Brno-Úvoz (hot spot),2024-01-21T16:54:17Z,,61.4,543,41.6,,41.2,25.4
Brno - Dětská nemocnice,2024-01-21T16:54:17Z,,30.2,,32.4,38.1,37.8,24.3
Brno-Svatoplukova,2024-01-21T16:54:17Z,,41.5,582,41.0,,44.7,29.1
Brno-Lány,2024-01-21T16:54:17Z,1.3,56.8,393,49.6,11.4,49.0,38.7
Brno-Tuřany,2024-01-21T16:54:17Z,2.9,15.7,,27.0,48.7,34.5,25.3
Brno-Arboretum,2024-01-21T17:54:17Z,,52.8,,34.1,18.4,31.9,26.6
Brno - Dětská nemocnice,2024-01-21T17:54:17Z,,43.2,,30.5,23.3,38.1,21.8
Brno-Líšeň,2024-01-21T17:54:17Z,,,,23.8,,23.4,21.3
Brno-Komárov,2024-01-21T17:54:17Z,,73.8,,54.2,,42.7,34.3
Brno-Tuřany,2024-01-21T17:54:17Z,3.2,19.1,,25.7,38.7,34.9,15.5
Brno-Svatoplukova,2024-01-21T17:54:17Z,,81.1,612,70.2,,45.3,34.2
Brno-Úvoz (hot spot),2024-01-21T17:54:17Z,,74.4,562,35.3,,40.7,25
Brno-Lány,2024-01-21T17:54:17Z,1.3,60.1,408,49.0,5.4,48.9,41.4
Brno-Arboretum,2024-01-21T18:54:17Z,,50.7,,31.9,21.3,31.7,27.3
Brno-Svatoplukova,2024-01-21T18:54:17Z,,49,597,31.3,,44.5,27
Brno-Lány,2024-01-21T18:54:17Z,1.3,56,437,49.1,3.2,48.1,41.9
Brno-Líšeň,2024-01-21T18:54:17Z,,,,32.4,,23.9,29
Brno-Úvoz (hot spot),2024-01-21T18:54:17Z,,65,572,37.0,,40.6,26.3
Brno - Dětská nemocnice,2024-01-21T18:54:17Z,,45.9,,39.5,20.1,38.4,29.1
Brno-Tuřany,2024-01-21T18:54:17Z,1.3,11.7,,27.2,53.9,35.3,17
Brno-Komárov,2024-01-21T18:54:17Z,,46.3,,32.9,,41.9,29.9
Brno-Svatoplukova,2024-01-21T19:54:17Z,,33.1,597,25.4,,43.7,24
Brno-Tuřany,2024-01-21T19:54:17Z,1.3,11.7,,16.9,54.5,35.2,23.2
Brno-Arboretum,2024-01-21T19:54:17Z,,31.8,,26.2,36.3,31.0,23.3
Brno-Lány,2024-01-21T19:54:18Z,1.3,54.7,466,45.0,5,47.8,40
Brno-Úvoz (hot spot),2024-01-21T19:54:18Z,,53,566,31.5,,40.0,23
Brno - Dětská nemocnice,2024-01-21T19:54:18Z,,25.3,,35.4,37.7,38.4,22.7
Brno-Líšeň,2024-01-21T19:54:18Z,,,,21.4,,24.0,30.1
Brno-Komárov,2024-01-21T19:54:18Z,,32.5,,28.6,,41.0,26.5
Brno-Úvoz (hot spot),2024-01-21T21:54:18Z,,51.3,580,29.6,,38.9,24.3
Brno-Líšeň,2024-01-21T21:54:18Z,,,,24.9,,24.0,14
Brno-Lány,2024-01-21T21:54:18Z,1.3,53.6,539,44.2,1.8,46.2,41.7
Brno-Tuřany,2024-01-21T21:54:18Z,1.3,19.7,,22.5,29.1,33.4,28.5
Brno - Dětská nemocnice,2024-01-21T21:54:18Z,,52.6,,21.8,9.4,36.4,24.5
Brno-Arboretum,2024-01-21T21:54:18Z,,36.2,,29.7,29.1,30.5,27.1
Brno-Komárov,2024-01-21T21:54:18Z,,60.6,,41.0,,38.9,33.2
Brno-Svatoplukova,2024-01-21T21:54:18Z,,48.4,612,34.3,,42.7,32.9
Brno-Lány,2024-01-21T22:54:18Z,1.3,49.2,597,55.4,2,45.2,52.4
Brno-Svatoplukova,2024-01-21T22:54:18Z,,41.1,641,42.5,,42.5,41.3
Brno-Tuřany,2024-01-21T22:54:18Z,1.3,25.1,,28.4,24.9,33.3,26.6
Brno - Dětská nemocnice,2024-01-21T22:54:18Z,,49.4,,27.7,11.4,35.5,22.6
Brno-Líšeň,2024-01-21T22:54:18Z,,,,20.0,,23.8,20.6
Brno-Komárov,2024-01-21T22:54:18Z,,58.7,,44.9,,38.5,36.7
Brno-Úvoz (hot spot),2024-01-21T22:54:18Z,,50.5,584,31.5,,38.7,25.5
Brno-Arboretum,2024-01-21T22:54:18Z,,27.4,,30.3,38.5,30.4,27
Brno - Dětská nemocnice,2024-01-21T23:54:18Z,,47.2,,34.8,11.8,34.7,28.8
Brno-Arboretum,2024-01-21T23:54:18Z,,22.6,,28.7,41.1,30.1,26.4
Brno-Lány,2024-01-21T23:54:18Z,1.3,51.1,655,58.3,4.8,44.7,55.4
Brno-Svatoplukova,2024-01-21T23:54:18Z,,34.2,670,43.9,,42.4,43.2
Brno-Úvoz (hot spot),2024-01-21T23:54:18Z,,51.3,593,28.4,,38.4,24.8
Brno-Komárov,2024-01-21T23:54:18Z,,53.2,,43.3,,38.6,39.2
Brno-Líšeň,2024-01-21T23:54:18Z,,,,28.9,,23.8,25.3
Brno-Tuřany,2024-01-21T23:54:18Z,,,,30.3,25.5,32.7,26.4
Brno-Lány,2024-01-22T00:54:18Z,1.3,42.7,699,59.6,20.1,43.8,56.2
Brno - Dětská nemocnice,2024-01-22T00:54:18Z,,45.7,,29.3,0,34.0,29.2
Brno-Úvoz (hot spot),2024-01-22T00:54:18Z,,45.1,581,26.4,,38.1,24.4
Brno-Líšeň,2024-01-22T00:54:18Z,,,,23.3,,23.5,24.5
Brno-Arboretum,2024-01-22T00:54:18Z,,42.5,,33.8,17,30.1,31
Brno-Svatoplukova,2024-01-22T00:54:18Z,,34.4,670,43.8,,42.5,42.6
Brno-Komárov,2024-01-22T00:54:18Z,,51.6,,38.0,,38.7,35.8
Brno-Tuřany,2024-01-22T00:54:18Z,1.3,14.5,,34.3,39.1,32.0,28.2
Brno-Arboretum,2024-01-22T01:54:18Z,,36.9,,33.8,24.3,30.1,31
Brno-Lány,2024-01-22T01:54:18Z,1.3,38.1,728,56.8,13,43.7,54
Brno-Líšeň,2024-01-22T01:54:18Z,,,,21.7,,23.6,24.6
Brno-Tuřany,2024-01-22T01:54:18Z,1.3,12.1,,34.2,0,31.6,28.4
Brno-Svatoplukova,2024-01-22T01:54:18Z,,33.5,612,41.0,,42.9,40.3
Brno - Dětská nemocnice,2024-01-22T01:54:18Z,,,,39.0,14.8,33.8,33.4
Brno-Úvoz (hot spot),2024-01-22T01:54:18Z,,44.6,567,27.6,,37.7,25.3
Brno-Komárov,2024-01-22T01:54:18Z,,49.2,,42.8,,38.9,39
Brno - Dětská nemocnice,2024-01-22T03:54:18Z,,30.2,,43.4,27.5,33.6,27.8
Brno-Arboretum,2024-01-22T03:54:18Z,,23.1,,27.4,39.1,29.8,25.6
Brno-Líšeň,2024-01-22T03:54:18Z,,,,25.0,,23.7,19.3
Brno-Lány,2024-01-22T03:54:18Z,1.3,40.4,772,56.0,7.8,44.9,53.3
Brno-Komárov,2024-01-22T03:54:18Z,,49.7,,52.1,,40.1,42
Brno-Svatoplukova,2024-01-22T03:54:18Z,,41.1,612,31.7,,43.4,30.2
Brno-Tuřany,2024-01-22T03:54:18Z,1.3,9.9,,25.0,40.9,29.9,31.4
Brno-Úvoz (hot spot),2024-01-22T03:54:18Z,,38.1,544,28.9,,37.1,25.3
Brno-Komárov,2024-01-22T04:54:18Z,,50.7,,53.3,,41.0,43.6
Brno-Arboretum,2024-01-22T04:54:18Z,,28.9,,27.2,33.7,29.8,25.2
Brno-Lány,2024-01-22T04:54:18Z,1.3,39.8,786,52.5,9.4,45.5,50.2
Brno-Úvoz (hot spot),2024-01-22T04:54:18Z,,37.5,536,28.5,,36.9,24.9
Brno-Tuřany,2024-01-22T04:54:18Z,1.3,11.9,,21.2,40.5,29.1,21.4
Brno-Líšeň,2024-01-22T04:54:18Z,,,,31.7,,24.2,24.2
Brno - Dětská nemocnice,2024-01-22T04:54:18Z,,38.8,,26.5,19.6,33.1,18.4
Brno-Svatoplukova,2024-01-22T04:54:18Z,,46.5,626,37.9,,43.7,37
Brno-Úvoz (hot spot),2024-01-22T06:54:18Z,,57.8,553,34.1,,37.1,27.2
Brno-Lány,2024-01-22T06:54:18Z,1.3,53.4,786,47.5,6.6,46.3,44.8
Brno-Arboretum,2024-01-22T06:54:18Z,,50.3,,32.3,12,30.2,29.9
Brno - Dětská nemocnice,2024-01-22T06:54:18Z,,54.9,,25.3,6.8,32.5,25
Brno-Tuřany,2024-01-22T06:54:18Z,1.3,25.3,,27.7,28.3,29.0,33.1
Brno-Svatoplukova,2024-01-22T06:54:18Z,,72.7,743,42.6,,44.5,39.6
Brno-Komárov,2024-01-22T06:54:18Z,,77.3,,60.1,,43.0,51.6
Brno-Líšeň,2024-01-22T06:54:18Z,,,,22.1,,24.5,21.8
Brno - Dětská nemocnice,2024-01-22T07:54:18Z,,62,,27.1,4.2,32.6,29
Brno-Úvoz (hot spot),2024-01-22T07:54:18Z,,67.1,566,40.7,,37.4,30.8
Brno-Svatoplukova,2024-01-22T07:54:18Z,,77.1,845,49.4,,45.3,43
Brno-Lány,2024-01-22T07:54:18Z,1.3,59.9,801,53.6,14,46.9,49.3
Brno-Arboretum,2024-01-22T07:54:18Z,,63.9,,35.8,4.8,30.5,31.9
Brno-Tuřany,2024-01-22T07:54:18Z,1.3,24.9,,41.2,35.7,29.8,33
Brno-Líšeň,2024-01-22T07:54:18Z,,,,34.9,,25.5,22.8
Brno-Komárov,2024-01-22T07:54:18Z,,94.3,,65.0,,44.2,53.7
Brno-Úvoz (hot spot),2024-01-22T08:54:18Z,,77.3,601,44.1,,37.8,34.9
Brno-Lány,2024-01-22T08:54:18Z,1.3,63.5,845,61.8,7.4,47.3,54.3
Brno - Dětská nemocnice,2024-01-22T08:54:18Z,,62.6,,36.4,7.8,32.4,31.7
Brno-Svatoplukova,2024-01-22T08:54:18Z,,50.9,859,34.5,,45.0,31.3
Brno-Arboretum,2024-01-22T08:54:18Z,,66.4,,37.4,8.4,31.0,32.1
Brno-Líšeň,2024-01-22T08:54:18Z,,,,34.0,,26.1,29.1
Brno-Tuřany,2024-01-22T08:54:18Z,1.3,14.7,,33.9,55.1,30.1,24.4
Brno-Komárov,2024-01-22T08:54:18Z,,95.8,,81.4,,46.1,65.6
Brno-Arboretum,2024-01-22T09:54:19Z,,47.6,,32.8,28.1,31.0,28.6
Brno-Lány,2024-01-22T09:54:19Z,1.3,63.7,815,52.6,7.8,48.0,45.6
Brno - Dětská nemocnice,2024-01-22T09:54:19Z,,42.3,,44.7,28.1,32.7,25.3
Brno-Úvoz (hot spot),2024-01-22T09:54:19Z,,78.2,616,47.4,,38.3,34
Brno-Líšeň,2024-01-22T09:54:19Z,,,,34.1,,26.5,30.5
Brno-Komárov,2024-01-22T09:54:19Z,,72.7,,51.9,,46.7,43.5
Brno-Tuřany,2024-01-22T09:54:19Z,1.3,12.6,,38.9,59.9,30.0,18.7
Brno-Svatoplukova,2024-01-22T09:54:19Z,,39.8,859,30.2,,44.5,27.7
Brno-Svatoplukova,2024-01-22T10:54:19Z,,38.3,845,50.8,,45.3,31.3
Brno - Dětská nemocnice,2024-01-22T10:54:19Z,,30.4,,34.3,40.9,32.6,18.4
Brno-Arboretum,2024-01-22T10:54:19Z,,26.8,,31.9,50.7,30.8,26.2
Brno-Tuřany,2024-01-22T10:54:19Z,1.3,11.9,,27.9,64.2,29.3,34.6
Brno-Komárov,2024-01-22T10:54:19Z,,36.5,,47.8,,46.7,32.6
Brno-Líšeň,2024-01-22T10:54:19Z,,,,29.8,,26.4,29.9
Brno-Úvoz (hot spot),2024-01-22T10:54:19Z,,,632,56.3,,39.0,32.4
Brno-Lány,2024-01-22T10:54:19Z,1.3,42.5,757,45.8,26.5,48.5,36.6
Brno - Dětská nemocnice,2024-01-22T13:54:19Z,,25.6,,29.7,49.9,32.7,14.5
Brno-Líšeň,2024-01-22T13:54:19Z,,,,14.9,,25.2,18.8
Brno-Arboretum,2024-01-22T13:54:19Z,,23,,33.2,57.7,30.9,22.7
Brno-Lány,2024-01-22T13:54:19Z,5.1,20.5,612,29.6,53.7,47.8,24.7
Brno-Úvoz (hot spot),2024-01-22T13:54:19Z,,62.6,653,66.2,,41.0,25.3
Brno-Tuřany,2024-01-22T13:54:19Z,2.9,11.9,,23.6,67.6,28.9,18.6
Brno-Svatoplukova,2024-01-22T13:54:19Z,,28.5,728,37.8,,42.8,24
Brno-Komárov,2024-01-22T13:54:19Z,,32.5,,48.0,,46.7,26.7
Brno-Svatoplukova,2024-01-22T14:54:19Z,,31.9,582,33.0,,41.3,24
Brno-Komárov,2024-01-22T14:54:19Z,,39.2,,28.5,,46.3,21.9
Brno-Úvoz (hot spot),2024-01-22T14:54:19Z,,70.8,645,58.0,,41.1,21.3
Brno-Arboretum,2024-01-22T14:54:19Z,,28.9,,30.5,51.1,31.0,20.5
Brno-Lány,2024-01-22T14:54:19Z,7.7,19.3,553,26.6,57.3,47.4,22.8
Brno-Líšeň,2024-01-22T14:54:19Z,,,,24.7,,25.3,16.3
