Rok;Měsíc;Průměrná teplota vzduchu;Medián teplota vzduchu;Maximální teplota vzduchu;Průměrná přízemní teplota;Maximální přízemní teplota;Lokalita;Souřadnice
2022;7;21.024495967741935;20.1;36.1;22.35524193548387;43.3;Bohunice;1846431.9702917489, 6303486.735041085
2022;8;21.423387096774192;20.3;35.6;22.365288978494625;42.1;Bohunice;1846431.9702917489, 6303486.735041085
2022;9;13.641874999999999;13.6;27.5;14.500347222222222;34.8;Bohunice;1846431.9702917489, 6303486.735041085
2022;10;11.235147849462367;11.1;23.1;11.513676075268815;35.2;Bohunice;1846431.9702917489, 6303486.735041085
2022;11;5.124895833333333;4.4;17.7;4.907743055555556;24.1;Bohunice;1846431.9702917489, 6303486.735041085
2022;12;0.5252016129032258;0.4;11.5;0.2974798387096774;18.5;Bohunice;1846431.9702917489, 6303486.735041085
2022;1;2.9202922077922078;2.7;7.1;2.4323051948051946;2.9;Lužánky;1848647.6289087017,6309926.419632995
2022;2;4.0581845238095235;4.1;14.4;3.650037202380952;4.4;Lužánky;1848647.6289087017,6309926.419632995
2022;3;4.54872311827957;3.9;19.1;3.509744623655914;6.5;Lužánky;1848647.6289087017,6309926.419632995
2022;4;8.47826388888889;8.1;21.1;6.617777777777778;8.5;Lužánky;1848647.6289087017,6309926.419632995
2022;5;16.010013440860217;15.8;28.7;11.654637096774193;13.2;Lužánky;1848647.6289087017,6309926.419632995
2022;6;20.294513888888886;20.3;33.6;14.945694444444444;17.6;Lužánky;1848647.6289087017,6309926.419632995
2022;7;20.591969086021503;20.0;34.1;16.943279569892475;18.2;Lužánky;1848647.6289087017,6309926.419632995
2022;8;20.7349126344086;19.85;33.3;17.826209677419357;18.7;Lužánky;1848647.6289087017,6309926.419632995
2022;9;13.20652777777778;13.2;26.5;14.97625;17.8;Lužánky;1848647.6289087017,6309926.419632995
2022;10;11.078662634408602;11.1;20.5;12.152016129032258;12.8;Lužánky;1848647.6289087017,6309926.419632995
2022;11;5.065520833333333;4.5;15.1;9.135034722222223;12.1;Lužánky;1848647.6289087017,6309926.419632995
2022;12;0.5791666666666666;0.5;7.5;4.431485215053764;6.6;Lužánky;1848647.6289087017,6309926.419632995
2022;1;0.9378232758620689;0.45;14.9;0.34445043103448275;12.4;Tuřany;1856633.2216363496, 6296883.781669727
2022;2;4.473846153846154;5.1;15.4;3.7546153846153842;16.0;Tuřany;1856633.2216363496, 6296883.781669727
2022;3;4.416039004707464;3.5;21.5;3.8854404841963683;28.8;Tuřany;1856633.2216363496, 6296883.781669727
2022;4;8.4515625;8.2;22.5;8.462534722222221;27.5;Tuřany;1856633.2216363496, 6296883.781669727
2022;5;16.130577956989246;15.9;31.5;15.44986559139785;32.6;Tuřany;1856633.2216363496, 6296883.781669727
2022;6;20.56951388888889;20.6;36.0;19.751527777777778;36.6;Tuřany;1856633.2216363496, 6296883.781669727
2022;7;21.29700940860215;20.4;38.1;20.962533602150536;41.0;Tuřany;1856633.2216363496, 6296883.781669727
2022;8;21.441258031788976;20.1;36.6;21.105377071356102;39.1;Tuřany;1856633.2216363496, 6296883.781669727
2022;9;13.62673611111111;13.5;28.5;13.239305555555555;29.0;Tuřany;1856633.2216363496, 6296883.781669727
2022;10;11.148084677419353;11.0;24.3;10.650772849462365;22.4;Tuřany;1856633.2216363496, 6296883.781669727
2022;11;4.921631944444444;4.1;16.6;4.688263888888889;14.3;Tuřany;1856633.2216363496, 6296883.781669727
2022;12;0.4512768817204301;0.3;12.0;0.4427419354838709;9.6;Tuřany;1856633.2216363496, 6296883.781669727
